Date,Day,Plant-ID,Total Fresh Weight (g),Baseline (g),New Fresh Weight (g),Median Fresh Weight (g),Average Fresh Weight (g)
2026-01-19,0,6,29.1,25.22,3.9,,
,0,4,29.3,25.22,4.1,,
,0,9,29.6,25.22,4.4,,
,0,1,29.7,25.22,4.5,,
,0,8,29.8,25.22,4.6,,
,0,2,30.1,25.22,4.9,4.7,4.9
,0,5,30.2,25.22,5.0,,
,0,7,30.4,25.22,5.2,,
,0,10,31.1,25.22,5.9,,
,0,3,31.8,25.22,6.6,,
,,,,,,,
2026-01-23,4,4,38.1,25.22,12.9,,
,4,7,41.3,25.22,16.1,,
,4,5,42,25.22,16.8,,
,4,6,43,25.22,17.8,,
,4,9,43,25.22,17.8,,
,4,10,43,25.22,17.8,17.8,18.3
,4,8,45,25.22,19.8,,
,4,1,46,25.22,20.8,,
,4,2,47,25.22,21.8,,
,4,3,47,25.22,21.8,,
,,,,,,,
2026-01-27,8,4,42,25.22,16.8,,
,8,7,44,25.22,18.8,,
,8,6,46,25.22,20.8,,
,8,6,46,25.22,20.8,,
,8,2,46,25.22,20.8,,
,8,9,46,25.22,20.8,20.8,21.8
,8,1,49,25.22,23.8,,
,8,8,50,25.22,24.8,,
,8,5,50,25.22,24.8,,
,8,3,51,25.22,25.8,,
,,,,,,,
2026-01-31,12,5,45.0,25.22,19.8,,
,12,7,48.0,25.22,22.8,,
,12,1,48.0,25.22,22.8,,
,12,6,50.0,25.22,24.8,,
,12,2,51.0,25.22,25.8,,
,12,9,52.0,25.22,26.8,26.3,25.9
,12,10,53.0,25.22,27.8,,
,12,3,54.0,25.22,28.8,,
,12,4,55.0,25.22,29.8,,
,12,8,55.0,25.22,29.8,,
,,,,,,,
2026-02-04,16,2,60.0,25.22,34.8,,
,16,9,64.0,25.22,38.8,,
,16,10,64.0,25.22,38.8,,
,16,7,66.0,25.22,40.8,,
,16,3,67.0,25.22,41.8,,
,16,8,67.0,25.22,41.8,41.8,41.3
,16,1,67.0,25.22,41.8,,
,16,5,70.0,25.22,44.8,,
,16,4,70.0,25.22,44.8,,
,16,6,70.0,25.22,44.8,,
,,,,,,,
2026-02-08,20,10,83.0,25.22,57.8,,
,20,2,92.0,25.22,66.8,,
,20,9,94.0,25.22,68.8,,
,20,7,94.0,25.22,68.8,,
,20,6,95.0,25.22,69.8,,
,20,3,97.0,25.22,71.8,70.8,71.1
,20,4,100.0,25.22,74.8,,
,20,8,101.0,25.22,75.8,,
,20,5,103.0,25.22,77.8,,
,20,1,104.0,25.22,78.8,,
,,,,,,,
2026-02-12,24,1,126.0,25.22,100.8,,
,24,9,127.0,25.22,101.8,,
,24,7,135.0,25.22,109.8,,
,24,10,135.0,25.22,109.8,,
,24,3,144.0,25.22,118.8,,
,24,6,145.0,25.22,119.8,119.3,117.5
,24,2,146.0,25.22,120.8,,
,24,4,148.0,25.22,122.8,,
,24,8,158.0,25.22,132.8,,
,24,5,163.0,25.22,137.8,,
,,,,,,,
2026-02-16,28,7,188.0,25.22,162.8,,
,28,1,190.0,25.22,164.8,,
,28,10,195.0,25.22,169.8,,
,28,9,198.0,25.22,172.8,,
,28,3,204.0,25.22,178.8,,
,28,2,206.0,25.22,180.8,179.8,178.4
,28,4,208.0,25.22,182.8,,
,28,6,211.0,25.22,185.8,,
,28,8,215.0,25.22,189.8,,
,28,5,221.0,25.22,195.8,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
